АВС/ DEF;От;До;Регион
901;920000;939999;Воронежская обл.
901;940000;949999;Рязанская обл.
901;1000000;1019999;Краснодарский край
901;1020000;1029999;Краснодарский край
901;1030000;1059999;Краснодарский край
901;1060000;1069999;Ростовская обл.
901;1070000;1079999;Краснодарский край
901;1080000;1089999;г. Ставрополь|Ставропольский край
901;1110000;1119999;Красноярский край
901;1160000;1169999;г. Кемерово|Кемеровская обл.
901;1240000;1249999;Калужская область
901;1270000;1279999;Калужская обл.
901;1290000;1299999;г. Кемерово|Кемеровская обл.
901;1300000;1314999;Волгоградская обл.
901;1315000;1315099;Республика Марий Эл
901;1315100;1315199;Чувашская Республика
901;1315200;1315299;Брянская обл.
901;1315300;1315399;Республика Мордовия
901;1315400;1315499;Кемеровская обл.
901;1315500;1315599;Воронежская обл.
901;1315600;1315699;Томская обл.
901;1315700;1315799;Чувашская Республика
901;1315800;1315899;Республика Удмуртская
901;1315900;1315999;Астраханская обл.
901;1316000;1316099;Ростовская обл.
901;1316100;1316199;Омская обл.
901;1316200;1316299;Республика Мордовия
901;1316300;1316399;Ростовская обл.
901;1340000;1349999;Приморский край
901;1380000;1389999;Приморский край
901;1390000;1399999;Чукотский автономный округ
901;1440000;1449999;Астраханская обл.
901;1450000;1459999;Калужская обл.
901;1470000;1474999;Калужская обл.
901;1490000;1509999;Свердловская обл.
901;1520000;1529999;Республика Башкортостан
901;1530000;1539999;г. Оренбург|Оренбургская обл.
901;1560000;1569999;Тюменская обл.
901;1570000;1579999;Республика Удмуртская
901;1580000;1589999;Челябинская область
901;1600000;1609999;с. Ий|р-н Тоджинский|Республика Тыва
901;1610000;1619999;Владимирская обл.
901;1800000;1899999;г. Москва и Московская область
901;1900000;1909999;Тверская обл.
901;1910000;1919999;Ивановская обл.
901;1920000;1929999;Владимирская обл.
901;1930000;1939999;Воронежская обл.
901;1940000;1949999;Ивановская обл.
901;1950000;1959999;Ярославская обл.
901;1960000;1979999;Костромская обл.
901;1980000;1989999;Тульская область
901;1990000;1999999;Ярославская обл.
901;2010000;2019999;Свердловская обл.
901;2020000;2029999;г. Москва
901;2100000;2109999;Свердловская обл.
901;2200000;2209999;Свердловская обл.
901;2300000;2309999;Свердловская обл.
901;2400000;2419999;Красноярский край
901;2420000;2439999;Кировская обл.
901;2500000;2519999;Челябинская область
901;2520000;2539999;Челябинская область
901;2600000;2619999;Ханты - Мансийский - Югра АО
901;2620000;2639999;Омская обл.
901;2650000;2652046;Пермский край
901;2652047;2652047;Пермский край
901;2652048;2652298;Пермский край
901;2652299;2652299;Пермский край
901;2652300;2652352;Пермский край
901;2652353;2652353;Пермский край
901;2652354;2652695;Пермский край
901;2652696;2652696;Пермский край
901;2652697;2653022;Пермский край
901;2653023;2653023;Пермский край
901;2653024;2653030;Пермский край
901;2653031;2653031;Пермский край
901;2653032;2653045;Пермский край
901;2653046;2653046;Пермский край
901;2653047;2653086;Пермский край
901;2653087;2653087;Пермский край
901;2653088;2653330;Пермский край
901;2653331;2653331;Пермский край
901;2653332;2653342;Пермский край
901;2653343;2653343;Пермский край
901;2653344;2653345;Пермский край
901;2653346;2653346;Пермский край
901;2653347;2653404;Пермский край
901;2653405;2653408;Пермский край
901;2653409;2653410;Пермский край
901;2653411;2653411;Пермский край
901;2653412;2653415;Пермский край
901;2653416;2653416;Пермский край
901;2653417;2653471;Пермский край
901;2653472;2653472;Пермский край
901;2653473;2653474;Пермский край
901;2653475;2653475;Пермский край
901;2653476;2653478;Пермский край
901;2653479;2653479;Пермский край
901;2653480;2653496;Пермский край
901;2653497;2653497;Пермский край
901;2653498;2653501;Пермский край
901;2653502;2653502;Пермский край
901;2653503;2653532;Пермский край
901;2653533;2653533;Пермский край
901;2653534;2653582;Пермский край
901;2653583;2653583;Пермский край
901;2653584;2653657;Пермский край
901;2653658;2653658;Пермский край
901;2653659;2653673;Пермский край
901;2653674;2653674;Пермский край
901;2653675;2653702;Пермский край
901;2653703;2653703;Пермский край
901;2653704;2653711;Пермский край
901;2653712;2653712;Пермский край
901;2653713;2653713;Пермский край
901;2653714;2653714;Пермский край
901;2653715;2653756;Пермский край
901;2653757;2653757;Пермский край
901;2653758;2653838;Пермский край
901;2653839;2653839;Пермский край
901;2653840;2653968;Пермский край
901;2653969;2653969;Пермский край
901;2653970;2654019;Пермский край
901;2654020;2654020;Пермский край
901;2654021;2654121;Пермский край
901;2654122;2654122;Пермский край
901;2654123;2654150;Пермский край
901;2654151;2654151;Пермский край
901;2654152;2654154;Пермский край
901;2654155;2654155;Пермский край
901;2654156;2654212;Пермский край
901;2654213;2654213;Пермский край
901;2654214;2654240;Пермский край
901;2654241;2654241;Пермский край
901;2654242;2654271;Пермский край
901;2654272;2654272;Пермский край
901;2654273;2654300;Пермский край
901;2654301;2654302;Пермский край
901;2654303;2654347;Пермский край
901;2654348;2654348;Пермский край
901;2654349;2654412;Пермский край
901;2654413;2654413;Пермский край
901;2654414;2654726;Пермский край
901;2654727;2654736;Пермский край
901;2654737;2654797;Пермский край
901;2654798;2654798;Пермский край
901;2654799;2654902;Пермский край
901;2654903;2654903;Пермский край
901;2654904;2654965;Пермский край
901;2654966;2654966;Пермский край
901;2654967;2654978;Пермский край
901;2654979;2654979;Пермский край
901;2654980;2654985;Пермский край
901;2654986;2654986;Пермский край
901;2654987;2655017;Пермский край
901;2655018;2655018;Пермский край
901;2655019;2655151;Пермский край
901;2655152;2655152;Пермский край
901;2655153;2655161;Пермский край
901;2655162;2655162;Пермский край
901;2655163;2655737;Пермский край
901;2655738;2655738;Пермский край
901;2655739;2656430;Пермский край
901;2656431;2656431;Пермский край
901;2656432;2656449;Пермский край
901;2656450;2656450;Пермский край
901;2656451;2656452;Пермский край
901;2656453;2656453;Пермский край
901;2656454;2656499;Пермский край
901;2656500;2656500;Пермский край
901;2656501;2656525;Пермский край
901;2656526;2656526;Пермский край
901;2656527;2656644;Пермский край
901;2656645;2656645;Пермский край
901;2656646;2656668;Пермский край
901;2656669;2656669;Пермский край
901;2656670;2656988;Пермский край
901;2656989;2656989;Пермский край
901;2656990;2656994;Пермский край
901;2656995;2656995;Пермский край
901;2656996;2657012;Пермский край
901;2657013;2657013;Пермский край
901;2657014;2657457;Пермский край
901;2657458;2657458;Пермский край
901;2657459;2657562;Пермский край
901;2657563;2657563;Пермский край
901;2657564;2657651;Пермский край
901;2657652;2657652;Пермский край
901;2657653;2657760;Пермский край
901;2657761;2657761;Пермский край
901;2657762;2657991;Пермский край
901;2657992;2657992;Пермский край
901;2657993;2658066;Пермский край
901;2658067;2658067;Пермский край
901;2658068;2658161;Пермский край
901;2658162;2658162;Пермский край
901;2658163;2658215;Пермский край
901;2658216;2658216;Пермский край
901;2658217;2658286;Пермский край
901;2658287;2658287;Пермский край
901;2658288;2658323;Пермский край
901;2658324;2658324;Пермский край
901;2658325;2658428;Пермский край
901;2658429;2658429;Пермский край
901;2658430;2658666;Пермский край
901;2658667;2658667;Пермский край
901;2658668;2658668;Пермский край
901;2658669;2658669;Пермский край
901;2658670;2658795;Пермский край
901;2658796;2658796;Пермский край
901;2658797;2658919;Пермский край
901;2658920;2658921;Пермский край
901;2658922;2658990;Пермский край
901;2658991;2658991;Пермский край
901;2658992;2658997;Пермский край
901;2658998;2658998;Пермский край
901;2658999;2661002;Пермский край
901;2661003;2661003;Пермский край
901;2661004;2661019;Пермский край
901;2661020;2661020;Пермский край
901;2661021;2661120;Пермский край
901;2661121;2661121;Пермский край
901;2661122;2661216;Пермский край
901;2661217;2661217;Пермский край
901;2661218;2661308;Пермский край
901;2661309;2661309;Пермский край
901;2661310;2661343;Пермский край
901;2661344;2661344;Пермский край
901;2661345;2661353;Пермский край
901;2661354;2661354;Пермский край
901;2661355;2661415;Пермский край
901;2661416;2661417;Пермский край
901;2661418;2661436;Пермский край
901;2661437;2661437;Пермский край
901;2661438;2661495;Пермский край
901;2661496;2661496;Пермский край
901;2661497;2661700;Пермский край
901;2661701;2661701;Пермский край
901;2661702;2661706;Пермский край
901;2661707;2661707;Пермский край
901;2661708;2661778;Пермский край
901;2661779;2661779;Пермский край
901;2661780;2661801;Пермский край
901;2661802;2661802;Пермский край
901;2661803;2661822;Пермский край
901;2661823;2661823;Пермский край
901;2661824;2661917;Пермский край
901;2661918;2661918;Пермский край
901;2661919;2661947;Пермский край
901;2661948;2661948;Пермский край
901;2661949;2661950;Пермский край
901;2661951;2661951;Пермский край
901;2661952;2661953;Пермский край
901;2661954;2661954;Пермский край
901;2661955;2661962;Пермский край
901;2661963;2661963;Пермский край
901;2661964;2661981;Пермский край
901;2661982;2661982;Пермский край
901;2661983;2662010;Пермский край
901;2662011;2662011;Пермский край
901;2662012;2662298;Пермский край
901;2662299;2662299;Пермский край
901;2662300;2662381;Пермский край
901;2662382;2662382;Пермский край
901;2662383;2662402;Пермский край
901;2662403;2662403;Пермский край
901;2662404;2662554;Пермский край
901;2662555;2662555;Пермский край
901;2662556;2662705;Пермский край
901;2662706;2662706;Пермский край
901;2662707;2662760;Пермский край
901;2662761;2662761;Пермский край
901;2662762;2662765;Пермский край
901;2662766;2662766;Пермский край
901;2662767;2662775;Пермский край
901;2662776;2662776;Пермский край
901;2662777;2662787;Пермский край
901;2662788;2662788;Пермский край
901;2662789;2662830;Пермский край
901;2662831;2662832;Пермский край
901;2662833;2662864;Пермский край
901;2662865;2662865;Пермский край
901;2662866;2662894;Пермский край
901;2662895;2662895;Пермский край
901;2662896;2662931;Пермский край
901;2662932;2662932;Пермский край
901;2662933;2662933;Пермский край
901;2662934;2662934;Пермский край
901;2662935;2663036;Пермский край
901;2663037;2663037;Пермский край
901;2663038;2663042;Пермский край
901;2663043;2663045;Пермский край
901;2663046;2663047;Пермский край
901;2663048;2663048;Пермский край
901;2663049;2663128;Пермский край
901;2663129;2663129;Пермский край
901;2663130;2663138;Пермский край
901;2663139;2663140;Пермский край
901;2663141;2663376;Пермский край
901;2663377;2663377;Пермский край
901;2663378;2663402;Пермский край
901;2663403;2663403;Пермский край
901;2663404;2663472;Пермский край
901;2663473;2663473;Пермский край
901;2663474;2663486;Пермский край
901;2663487;2663487;Пермский край
901;2663488;2663511;Пермский край
901;2663512;2663512;Пермский край
901;2663513;2663559;Пермский край
901;2663560;2663560;Пермский край
901;2663561;2663564;Пермский край
901;2663565;2663565;Пермский край
901;2663566;2663581;Пермский край
901;2663582;2663582;Пермский край
901;2663583;2663611;Пермский край
901;2663612;2663612;Пермский край
901;2663613;2663642;Пермский край
901;2663643;2663643;Пермский край
901;2663644;2663648;Пермский край
901;2663649;2663649;Пермский край
901;2663650;2663820;Пермский край
901;2663821;2663821;Пермский край
901;2663822;2663877;Пермский край
901;2663878;2663878;Пермский край
901;2663879;2664361;Пермский край
901;2664362;2664362;Пермский край
901;2664363;2664466;Пермский край
901;2664467;2664467;Пермский край
901;2664468;2664624;Пермский край
901;2664625;2664625;Пермский край
901;2664626;2664874;Пермский край
901;2664875;2664875;Пермский край
901;2664876;2664941;Пермский край
901;2664942;2664942;Пермский край
901;2664943;2665009;Пермский край
901;2665010;2665014;Пермский край
901;2665015;2665070;Пермский край
901;2665071;2665071;Пермский край
901;2665072;2665161;Пермский край
901;2665162;2665162;Пермский край
901;2665163;2665165;Пермский край
901;2665166;2665166;Пермский край
901;2665167;2665222;Пермский край
901;2665223;2665223;Пермский край
901;2665224;2665268;Пермский край
901;2665269;2665270;Пермский край
901;2665271;2665335;Пермский край
901;2665336;2665336;Пермский край
901;2665337;2665395;Пермский край
901;2665396;2665396;Пермский край
901;2665397;2665437;Пермский край
901;2665438;2665438;Пермский край
901;2665439;2665499;Пермский край
901;2665500;2665500;Пермский край
901;2665501;2665536;Пермский край
901;2665537;2665537;Пермский край
901;2665538;2665564;Пермский край
901;2665565;2665565;Пермский край
901;2665566;2665566;Пермский край
901;2665567;2665567;Пермский край
901;2665568;2665628;Пермский край
901;2665629;2665629;Пермский край
901;2665630;2665691;Пермский край
901;2665692;2665692;Пермский край
901;2665693;2665823;Пермский край
901;2665824;2665824;Пермский край
901;2665825;2667021;Пермский край
901;2667022;2667022;Пермский край
901;2667023;2667026;Пермский край
901;2667027;2667027;Пермский край
901;2667028;2667036;Пермский край
901;2667037;2667037;Пермский край
901;2667038;2667495;Пермский край
901;2667496;2667496;Пермский край
901;2667497;2667546;Пермский край
901;2667547;2667547;Пермский край
901;2667548;2667560;Пермский край
901;2667561;2667561;Пермский край
901;2667562;2667705;Пермский край
901;2667706;2667706;Пермский край
901;2667707;2667755;Пермский край
901;2667756;2667756;Пермский край
901;2667757;2668165;Пермский край
901;2668166;2668166;Пермский край
901;2668167;2668212;Пермский край
901;2668213;2668213;Пермский край
901;2668214;2668223;Пермский край
901;2668224;2668224;Пермский край
901;2668225;2668407;Пермский край
901;2668408;2668408;Пермский край
901;2668409;2668424;Пермский край
901;2668425;2668425;Пермский край
901;2668426;2668426;Пермский край
901;2668427;2668427;Пермский край
901;2668428;2668432;Пермский край
901;2668433;2668433;Пермский край
901;2668434;2668454;Пермский край
901;2668455;2668455;Пермский край
901;2668456;2668459;Пермский край
901;2668460;2668460;Пермский край
901;2668461;2668461;Пермский край
901;2668462;2668462;Пермский край
901;2668463;2668869;Пермский край
901;2668870;2668870;Пермский край
901;2668871;2669101;Пермский край
901;2669102;2669102;Пермский край
901;2669103;2669124;Пермский край
901;2669125;2669125;Пермский край
901;2669126;2669152;Пермский край
901;2669153;2669153;Пермский край
901;2669154;2669155;Пермский край
901;2669156;2669156;Пермский край
901;2669157;2669161;Пермский край
901;2669162;2669162;Пермский край
901;2669163;2669239;Пермский край
901;2669240;2669241;Пермский край
901;2669242;2669273;Пермский край
901;2669274;2669274;Пермский край
901;2669275;2669289;Пермский край
901;2669290;2669290;Пермский край
901;2669291;2669291;Пермский край
901;2669292;2669293;Пермский край
901;2669294;2669313;Пермский край
901;2669314;2669314;Пермский край
901;2669315;2669315;Пермский край
901;2669316;2669316;Пермский край
901;2669317;2669345;Пермский край
901;2669346;2669348;Пермский край
901;2669349;2669379;Пермский край
901;2669380;2669380;Пермский край
901;2669381;2669971;Пермский край
901;2669972;2669973;Пермский край
901;2669974;2670003;Пермский край
901;2670004;2670006;Пермский край
901;2670007;2670013;Пермский край
901;2670014;2670018;Пермский край
901;2670019;2670023;Пермский край
901;2670024;2670024;Пермский край
901;2670025;2670075;Пермский край
901;2670076;2670076;Пермский край
901;2670077;2670094;Пермский край
901;2670095;2670095;Пермский край
901;2670096;2670101;Пермский край
901;2670102;2670102;Пермский край
901;2670103;2670342;Пермский край
901;2670343;2670343;Пермский край
901;2670344;2670344;Пермский край
901;2670345;2670346;Пермский край
901;2670347;2670351;Пермский край
901;2670352;2670352;Пермский край
901;2670353;2670388;Пермский край
901;2670389;2670389;Пермский край
901;2670390;2670500;Пермский край
901;2670501;2670501;Пермский край
901;2670502;2670531;Пермский край
901;2670532;2670532;Пермский край
901;2670533;2670555;Пермский край
901;2670556;2670556;Пермский край
901;2670557;2670606;Пермский край
901;2670607;2670607;Пермский край
901;2670608;2670612;Пермский край
901;2670613;2670613;Пермский край
901;2670614;2670726;Пермский край
901;2670727;2670727;Пермский край
901;2670728;2670764;Пермский край
901;2670765;2670765;Пермский край
901;2670766;2670772;Пермский край
901;2670773;2670773;Пермский край
901;2670774;2670778;Пермский край
901;2670779;2670779;Пермский край
901;2670780;2670780;Пермский край
901;2670781;2670781;Пермский край
901;2670782;2670785;Пермский край
901;2670786;2670786;Пермский край
901;2670787;2670792;Пермский край
901;2670793;2670793;Пермский край
901;2670794;2670861;Пермский край
901;2670862;2670862;Пермский край
901;2670863;2670891;Пермский край
901;2670892;2670892;Пермский край
901;2670893;2670985;Пермский край
901;2670986;2670986;Пермский край
901;2670987;2671134;Пермский край
901;2671135;2671135;Пермский край
901;2671136;2671157;Пермский край
901;2671158;2671159;Пермский край
901;2671160;2671236;Пермский край
901;2671237;2671238;Пермский край
901;2671239;2671314;Пермский край
901;2671315;2671315;Пермский край
901;2671316;2671403;Пермский край
901;2671404;2671404;Пермский край
901;2671405;2671447;Пермский край
901;2671448;2671448;Пермский край
901;2671449;2671530;Пермский край
901;2671531;2671531;Пермский край
901;2671532;2671697;Пермский край
901;2671698;2671698;Пермский край
901;2671699;2671756;Пермский край
901;2671757;2671757;Пермский край
901;2671758;2671829;Пермский край
901;2671830;2671830;Пермский край
901;2671831;2671869;Пермский край
901;2671870;2671870;Пермский край
901;2671871;2671939;Пермский край
901;2671940;2671940;Пермский край
901;2671941;2671984;Пермский край
901;2671985;2671985;Пермский край
901;2671986;2672139;Пермский край
901;2672140;2672140;Пермский край
901;2672141;2672153;Пермский край
901;2672154;2672154;Пермский край
901;2672155;2672270;Пермский край
901;2672271;2672271;Пермский край
901;2672272;2672323;Пермский край
901;2672324;2672324;Пермский край
901;2672325;2672325;Пермский край
901;2672326;2672327;Пермский край
901;2672328;2672378;Пермский край
901;2672379;2672379;Пермский край
901;2672380;2672405;Пермский край
901;2672406;2672406;Пермский край
901;2672407;2672436;Пермский край
901;2672437;2672437;Пермский край
901;2672438;2672650;Пермский край
901;2672651;2672651;Пермский край
901;2672652;2672803;Пермский край
901;2672804;2672804;Пермский край
901;2672805;2672930;Пермский край
901;2672931;2672931;Пермский край
901;2672932;2672980;Пермский край
901;2672981;2672981;Пермский край
901;2672982;2673039;Пермский край
901;2673040;2673042;Пермский край
901;2673043;2673206;Пермский край
901;2673207;2673207;Пермский край
901;2673208;2673259;Пермский край
901;2673260;2673260;Пермский край
901;2673261;2673273;Пермский край
901;2673274;2673275;Пермский край
901;2673276;2673315;Пермский край
901;2673316;2673316;Пермский край
901;2673317;2673372;Пермский край
901;2673373;2673373;Пермский край
901;2673374;2673434;Пермский край
901;2673435;2673435;Пермский край
901;2673436;2673441;Пермский край
901;2673442;2673442;Пермский край
901;2673443;2673457;Пермский край
901;2673458;2673459;Пермский край
901;2673460;2673506;Пермский край
901;2673507;2673507;Пермский край
901;2673508;2673513;Пермский край
901;2673514;2673514;Пермский край
901;2673515;2673602;Пермский край
901;2673603;2673603;Пермский край
901;2673604;2673657;Пермский край
901;2673658;2673658;Пермский край
901;2673659;2673798;Пермский край
901;2673799;2673799;Пермский край
901;2673800;2673906;Пермский край
901;2673907;2673911;Пермский край
901;2673912;2674168;Пермский край
901;2674169;2674169;Пермский край
901;2674170;2674362;Пермский край
901;2674363;2674363;Пермский край
901;2674364;2674419;Пермский край
901;2674420;2674420;Пермский край
901;2674421;2675237;Пермский край
901;2675238;2675238;Пермский край
901;2675239;2675379;Пермский край
901;2675380;2675380;Пермский край
901;2675381;2675578;Пермский край
901;2675579;2675581;Пермский край
901;2675582;2675674;Пермский край
901;2675675;2675675;Пермский край
901;2675676;2675693;Пермский край
901;2675694;2675694;Пермский край
901;2675695;2677016;Пермский край
901;2677017;2677017;Пермский край
901;2677018;2677051;Пермский край
901;2677052;2677055;Пермский край
901;2677056;2677249;Пермский край
901;2677250;2677250;Пермский край
901;2677251;2677285;Пермский край
901;2677286;2677286;Пермский край
901;2677287;2677322;Пермский край
901;2677323;2677323;Пермский край
901;2677324;2677560;Пермский край
901;2677561;2677561;Пермский край
901;2677562;2677576;Пермский край
901;2677577;2677577;Пермский край
901;2677578;2677584;Пермский край
901;2677585;2677585;Пермский край
901;2677586;2677693;Пермский край
901;2677694;2677694;Пермский край
901;2677695;2677772;Пермский край
901;2677773;2677774;Пермский край
901;2677775;2677997;Пермский край
901;2677998;2677998;Пермский край
901;2677999;2678026;Пермский край
901;2678027;2678028;Пермский край
901;2678029;2678281;Пермский край
901;2678282;2678283;Пермский край
901;2678284;2678473;Пермский край
901;2678474;2678475;Пермский край
901;2678476;2678641;Пермский край
901;2678642;2678642;Пермский край
901;2678643;2678643;Пермский край
901;2678644;2678644;Пермский край
901;2678645;2678645;Пермский край
901;2678646;2678647;Пермский край
901;2678648;2678649;Пермский край
901;2678650;2678650;Пермский край
901;2678651;2678651;Пермский край
901;2678652;2678656;Пермский край
901;2678657;2678662;Пермский край
901;2678663;2678665;Пермский край
901;2678666;2678711;Пермский край
901;2678712;2678712;Пермский край
901;2678713;2678715;Пермский край
901;2678716;2678716;Пермский край
901;2678717;2678717;Пермский край
901;2678718;2678718;Пермский край
901;2678719;2678720;Пермский край
901;2678721;2678721;Пермский край
901;2678722;2678728;Пермский край
901;2678729;2678730;Пермский край
901;2678731;2678735;Пермский край
901;2678736;2678736;Пермский край
901;2678737;2678776;Пермский край
901;2678777;2678777;Пермский край
901;2678778;2680008;Пермский край
901;2680009;2680009;Пермский край
901;2680010;2680053;Пермский край
901;2680054;2680054;Пермский край
901;2680055;2680400;Пермский край
901;2680401;2680401;Пермский край
901;2680402;2680462;Пермский край
901;2680463;2680463;Пермский край
901;2680464;2680733;Пермский край
901;2680734;2680734;Пермский край
901;2680735;2680736;Пермский край
901;2680737;2680738;Пермский край
901;2680739;2680776;Пермский край
901;2680777;2680777;Пермский край
901;2680778;2683917;Пермский край
901;2683918;2683918;Пермский край
901;2683919;2683961;Пермский край
901;2683962;2683962;Пермский край
901;2683963;2683971;Пермский край
901;2683972;2683972;Пермский край
901;2683973;2683999;Пермский край
901;2684000;2684000;Пермский край
901;2684001;2684273;Пермский край
901;2684274;2684274;Пермский край
901;2684275;2684506;Пермский край
901;2684507;2684507;Пермский край
901;2684508;2684799;Пермский край
901;2684800;2684800;Пермский край
901;2684801;2685006;Пермский край
901;2685007;2685007;Пермский край
901;2685008;2685009;Пермский край
901;2685010;2685010;Пермский край
901;2685011;2685039;Пермский край
901;2685040;2685040;Пермский край
901;2685041;2685101;Пермский край
901;2685102;2685102;Пермский край
901;2685103;2687031;Пермский край
901;2687032;2687032;Пермский край
901;2687033;2687161;Пермский край
901;2687162;2687162;Пермский край
901;2687163;2687565;Пермский край
901;2687566;2687566;Пермский край
901;2687567;2688000;Пермский край
901;2688001;2688002;Пермский край
901;2688003;2688016;Пермский край
901;2688017;2688017;Пермский край
901;2688018;2688025;Пермский край
901;2688026;2688026;Пермский край
901;2688027;2688068;Пермский край
901;2688069;2688069;Пермский край
901;2688070;2688077;Пермский край
901;2688078;2688078;Пермский край
901;2688079;2688087;Пермский край
901;2688088;2688088;Пермский край
901;2688089;2688503;Пермский край
901;2688504;2688504;Пермский край
901;2688505;2688505;Пермский край
901;2688506;2688506;Пермский край
901;2688507;2688523;Пермский край
901;2688524;2688524;Пермский край
901;2688525;2688533;Пермский край
901;2688534;2688534;Пермский край
901;2688535;2688561;Пермский край
901;2688562;2688562;Пермский край
901;2688563;2688582;Пермский край
901;2688583;2688583;Пермский край
901;2688584;2688999;Пермский край
901;2689000;2689000;Пермский край
901;2689001;2689003;Пермский край
901;2689004;2689004;Пермский край
901;2689005;2689014;Пермский край
901;2689015;2689015;Пермский край
901;2689016;2689088;Пермский край
901;2689089;2689089;Пермский край
901;2689090;2689167;Пермский край
901;2689168;2689168;Пермский край
901;2689169;2689175;Пермский край
901;2689176;2689176;Пермский край
901;2689177;2689192;Пермский край
901;2689193;2689193;Пермский край
901;2689194;2689217;Пермский край
901;2689218;2689218;Пермский край
901;2689219;2689234;Пермский край
901;2689235;2689235;Пермский край
901;2689236;2689245;Пермский край
901;2689246;2689246;Пермский край
901;2689247;2689247;Пермский край
901;2689248;2689248;Пермский край
901;2689249;2689313;Пермский край
901;2689314;2689314;Пермский край
